"cps19_votechoice","cps19_citizenship","cps19_age","cps19_gender","cps19_education","cps19_employment","cps19_income_number","cps19_marital","cps19_province"
"Conservative Party","Canadian citizen",58,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",41000,"Married","Saskatchewan"
"Conservative Party","Canadian citizen",43,"A man","Bachelor's degree","Working for pay full-time",85000,"Married","Ontario"
"ndp","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",13000,"Never Married","Quebec"
"ndp","Canadian citizen",49,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",95000,"Married","Ontario"
"Liberal Party","Canadian citizen",48,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",55000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",99,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",250000,"Married","Ontario"
"Bloc Québécois","Canadian citizen",64,"A man","Bachelor's degree","Working for pay part-time",24000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",41,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",138000,"Married","Quebec"
"Liberal Party","Canadian citizen",64,"A woman","Bachelor's degree","Retired",231000,"Married","Ontario"
"Liberal Party","Canadian citizen",40,"A man","Bachelor's degree","Self employed (with or without employees)",250000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",61,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",35000,"Living with a partner","Quebec"
"ndp","Canadian citizen",36,"A woman","Master's degree","Working for pay full-time",1e+05,"Living with a partner","Ontario"
"Green Party","Canadian citizen",40,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",55000,"Living with a partner","New Brunswick"
"ndp","Canadian citizen",46,"A man","Bachelor's degree","Working for pay full-time",180000,"Married","Alberta"
"Conservative Party","Canadian citizen",50,"A man","Completed secondary/ high school","Working for pay full-time",29000,"Divorced","Manitoba"
"ndp","Canadian citizen",49,"A woman","Master's degree","Working for pay full-time",250000,"Living with a partner","Quebec"
"ndp","Canadian citizen",39,"A woman","Master's degree","Working for pay full-time",2e+05,"Married","Ontario"
"Liberal Party","Canadian citizen",70,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",90000,"Living with a partner","Quebec"
"Bloc Québécois","Canadian citizen",71,"A man","Completed technical, community college, CEGEP, College Classique","Retired",70000,"Married","Quebec"
"Liberal Party","Canadian citizen",57,"A woman","Completed technical, community college, CEGEP, College Classique","Unemployed/ looking for work",25000,"Never Married","Alberta"
"Green Party","Canadian citizen",58,"A woman","Bachelor's degree","Retired",95000,"Married","Quebec"
"Liberal Party","Canadian citizen",61,"A man","Some university","Working for pay full-time",130000,"Married","Quebec"
"People's Party","Canadian citizen",35,"A woman","Bachelor's degree","Working for pay full-time",99000,"Married","Alberta"
"Bloc Québécois","Canadian citizen",52,"A woman","Some secondary/ high school","Caring for a family",11000,"Separated","Quebec"
"Liberal Party","Canadian citizen",37,"A woman","Some secondary/ high school","Working for pay full-time",32000,"Living with a partner","Quebec"
"Liberal Party","Canadian citizen",44,"A man","Bachelor's degree","Working for pay full-time",370000,"Married","Ontario"
"Conservative Party","Canadian citizen",57,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay part-time",90000,"Married","Alberta"
"ndp","Canadian citizen",60,"A woman","Completed technical, community college, CEGEP, College Classique","Disabled",71000,"Married","Manitoba"
"Green Party","Canadian citizen",27,"A woman","Some technical, community college, CEGEP, College Classique","Working for pay full-time",80000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",35,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",120000,"Living with a partner","Ontario"
"Conservative Party","Canadian citizen",24,"A man","Some technical, community college, CEGEP, College Classique","Working for pay full-time",25000,"Never Married","Manitoba"
"ndp","Canadian citizen",58,"A woman","Some technical, community college, CEGEP, College Classique","Retired",80000,"Married","Newfoundland and Labrador"
"Liberal Party","Canadian citizen",72,"A man","Master's degree","Retired and working for pay",140000,"Married","Quebec"
"Conservative Party","Canadian citizen",43,"A man","Bachelor's degree","Working for pay full-time",95000,"Married","Saskatchewan"
"Liberal Party","Canadian citizen",57,"A woman","Bachelor's degree","Working for pay full-time",1e+05,"Divorced","Quebec"
"Bloc Québécois","Canadian citizen",76,"A man","Master's degree","Retired",56000,"Divorced","Quebec"
"Conservative Party","Canadian citizen",36,"A man","Professional degree or doctorate","Working for pay full-time",301000,"Living with a partner","Alberta"
"Liberal Party","Canadian citizen",33,"A man","Master's degree","Working for pay full-time",80000,"Married","Manitoba"
"Conservative Party","Canadian citizen",36,"A woman","Bachelor's degree","Working for pay full-time",60000,"Never Married","Saskatchewan"
"ndp","Canadian citizen",53,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",50000,"Never Married","Saskatchewan"
"Liberal Party","Canadian citizen",27,"A woman","Bachelor's degree","Working for pay part-time",60000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",51,"A man","Some university","Working for pay full-time",130000,"Married","Quebec"
"Liberal Party","Canadian citizen",39,"A woman","Master's degree","Working for pay full-time",170000,"Married","Saskatchewan"
"Bloc Québécois","Canadian citizen",91,"A man","Bachelor's degree","Working for pay full-time",250000,"Married","Quebec"
"Liberal Party","Canadian citizen",37,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",74000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",31,"A man","Master's degree","Working for pay full-time",125000,"Married","Ontario"
"Conservative Party","Canadian citizen",32,"A man","Master's degree","Self employed (with or without employees)",5e+05,"Never Married","Ontario"
"ndp","Canadian citizen",34,"A man","Professional degree or doctorate","Working for pay full-time",750000,"Never Married","Ontario"
"Conservative Party","Canadian citizen",72,"A woman","Completed secondary/ high school","Retired",59000,"Married","Alberta"
"Green Party","Canadian citizen",40,"A man","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",36000,"Married","Ontario"
"Liberal Party","Canadian citizen",71,"A man","Completed technical, community college, CEGEP, College Classique","Retired",55000,"Married","Quebec"
"Conservative Party","Canadian citizen",82,"A man","Professional degree or doctorate","Retired",71000,"Married","Alberta"
"Conservative Party","Canadian citizen",44,"A man","Master's degree","Working for pay full-time",2e+05,"Married","Quebec"
"Liberal Party","Canadian citizen",65,"A woman","Master's degree","Retired",50000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",44,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",1e+05,"Married","Alberta"
"Conservative Party","Canadian citizen",30,"A woman","Some university","Unemployed/ looking for work",0,"Never Married","Manitoba"
"ndp","Canadian citizen",42,"A man","Bachelor's degree","Working for pay full-time",140000,"Married","New Brunswick"
"Conservative Party","Canadian citizen",56,"A man","Some technical, community college, CEGEP, College Classique","Unemployed/ looking for work",25,"Divorced","Alberta"
"ndp","Canadian citizen",22,"A woman","Some university","Student",50000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",34,"A woman","Master's degree","Working for pay full-time",140000,"Married","Ontario"
"Conservative Party","Canadian citizen",55,"A man","Completed technical, community college, CEGEP, College Classique","Self employed (with or without employees)",125000,"Married","Alberta"
"Conservative Party","Canadian citizen",26,"A man","Completed secondary/ high school","Student",45000,"Never Married","Manitoba"
"Liberal Party","Canadian citizen",58,"A woman","Bachelor's degree","Working for pay part-time",50000,"Married","Alberta"
"Bloc Québécois","Canadian citizen",90,"A man","Some university","Working for pay full-time",2e+05,"Married","Quebec"
"Liberal Party","Canadian citizen",26,"A woman","Completed technical, community college, CEGEP, College Classique","Unemployed/ looking for work",40000,"Living with a partner","Quebec"
"Green Party","Canadian citizen",23,"A woman","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",60000,"Married","Ontario"
"Conservative Party","Canadian citizen",30,"A woman","Some technical, community college, CEGEP, College Classique","Caring for a family",15000,"Living with a partner","Saskatchewan"
"Bloc Québécois","Canadian citizen",59,"A woman","Some university","Working for pay full-time",40000,"Never Married","Quebec"
"Conservative Party","Canadian citizen",35,"A man","Bachelor's degree","Working for pay full-time",67000,"Married","Ontario"
"Liberal Party","Canadian citizen",88,"A man","Some secondary/ high school","Retired",32000,"Married","Quebec"
"Green Party","Canadian citizen",39,"A woman","Bachelor's degree","Working for pay full-time",38000,"Married","Ontario"
"ndp","Canadian citizen",55,"A man","Some university","Working for pay full-time",125000,"Married","Quebec"
"Bloc Québécois","Canadian citizen",44,"A man","Completed technical, community college, CEGEP, College Classique","Working for pay full-time",70000,"Living with a partner","Quebec"
"Conservative Party","Canadian citizen",66,"A woman","Completed secondary/ high school","Retired",93000,"Married","Saskatchewan"
"ndp","Canadian citizen",38,"A woman","Bachelor's degree","Working for pay full-time",43000,"Never Married","Ontario"
"Liberal Party","Canadian citizen",68,"A woman","Completed technical, community college, CEGEP, College Classique","Retired",42000,"Never Married","Quebec"
"Liberal Party","Canadian citizen",45,"A man","Bachelor's degree","Working for pay full-time",135000,"Married","Ontario"
"Conservative Party","Canadian citizen",49,"A man","Bachelor's degree","Working for pay full-time",60000,"Divorced","Alberta"
